object1,object2,time
"[1.67520960e+09 4.28515158e+04 6.97090300e+06 1.00000000e+00
 8.66465577e+05 3.52037971e+05 6.90787922e+06]","[1.67520960e+09 4.28516069e+04 6.97104200e+06 1.00000000e+00
 8.67094665e+05 3.52230222e+05 6.90793075e+06]",1678072100
"[1.67520960e+09 4.28494354e+04 6.97089000e+06 1.00000000e+00
 8.52747313e+05 3.50429443e+05 6.90965474e+06]","[1.67520960e+09 4.28480785e+04 6.97108000e+06 1.00000000e+00
 8.53349138e+05 3.50210453e+05 6.90978323e+06]",1786325900
"[ 1.67520960e+09  4.28494354e+04  6.97089000e+06  1.00000000e+00
 -8.68910295e+05 -3.26133229e+05 -6.90883054e+06]","[ 1.67520960e+09  4.28480785e+04  6.97108000e+06  1.00000000e+00
 -8.69064171e+05 -3.26691996e+05 -6.90897649e+06]",1786328800
"[ 1.67520960e+09  4.28494354e+04  6.97089000e+06  1.00000000e+00
 -7.11499343e+05 -5.61545314e+05 -6.91171057e+06]","[ 1.67520960e+09  4.28480785e+04  6.97108000e+06  1.00000000e+00
 -7.11269570e+05 -5.61633597e+05 -6.91191867e+06]",1928007900
