object1,object2,time
"[ 1.67520960e+09  4.36419482e+04  6.88657400e+06  2.53688136e+06
 -5.94628538e+06 -2.37293587e+06]","[ 1.67520960e+09  1.19735918e+02  6.88807900e+06  2.14673008e+06
 -5.99932394e+06 -2.61635138e+06]",1675210100
"[ 1.67520960e+09  4.36419482e+04  6.88657400e+06  2.32330993e+06
 -5.71285275e+06 -3.06438344e+06]","[ 1.67520960e+09  1.19735918e+02  6.88807900e+06  2.14673008e+06
 -5.99932394e+06 -2.61635138e+06]",1675210200
"[ 1.67520960e+09  4.36062461e+04  6.88652800e+06 -1.90059507e+06
  5.49854433e+06 -3.68483603e+06]","[ 1.67520960e+09  4.36419482e+04 -6.88657400e+06 -2.32330993e+06
  5.71285275e+06 -3.06420516e+06]",1675210300
"[ 1.67520960e+09  4.36132357e+04  6.88619300e+06  1.55567346e+06
 -5.32653412e+06 -4.07769155e+06]","[ 1.67520960e+09  4.36062461e+04 -6.88652800e+06  1.90059507e+06
 -5.49854433e+06 -3.68465602e+06]",1675210400
"[ 1.67520960e+09  4.36167619e+04  6.88512400e+06 -1.15923191e+06
  5.26734280e+06 -4.27974458e+06]","[ 1.67520960e+09  4.36132357e+04 -6.88619300e+06 -1.55567346e+06
  5.32653412e+06 -4.07751104e+06]",1675210500
"[ 1.67520960e+09  4.36167619e+04  6.88512400e+06 -1.12969054e+06
  5.71679683e+06 -3.66701048e+06]","[ 1.67520960e+09  4.36132357e+04 -6.88619300e+06 -1.55567346e+06
  5.32653412e+06 -4.07751104e+06]",1675210600
"[ 1.67520960e+09  4.36380650e+04  6.88787600e+06  1.09019320e+06
 -6.08978190e+06 -3.02801437e+06]","[ 1.67520960e+09  4.36167619e+04 -6.88512400e+06  1.12969054e+06
 -5.71679683e+06 -3.66683219e+06]",1675210800
"[ 1.67520960e+09  4.35892061e+04  6.88511700e+06  7.40099354e+05
 -6.08292093e+06 -3.13929323e+06]","[ 1.67520960e+09  4.36167619e+04 -6.88512400e+06  1.12969054e+06
 -5.71679683e+06 -3.66683219e+06]",1675210900
"[ 1.67520960e+09  4.35892061e+04  6.88511700e+06  5.84599083e+05
 -5.71912774e+06 -3.78875413e+06]","[ 1.67520960e+09  4.36167619e+04 -6.88512400e+06  1.12969054e+06
 -5.71679683e+06 -3.66683219e+06]",1675211000
"[ 1.67520960e+09  4.35892061e+04  6.88511700e+06  4.21966872e+05
 -5.28556285e+06 -4.39199333e+06]","[ 1.67520960e+09  4.36167619e+04 -6.88512400e+06  1.15923191e+06
 -5.26734280e+06 -4.27956636e+06]",1675211100
"[ 1.67520960e+09  4.36372180e+04  6.88725600e+06  2.04781839e+06
 -6.19840381e+06 -2.19556946e+06]","[ 1.67520960e+09  1.19735918e+02  6.88807900e+06  2.14673008e+06
 -5.99932394e+06 -2.61635138e+06]",1675211300
"[ 1.67520960e+09  4.36480801e+04  6.88543200e+06  7.95586647e+05
 -6.10274803e+06 -3.08750420e+06]","[ 1.67520960e+09  4.36167619e+04 -6.88512400e+06  1.12969054e+06
 -5.71679683e+06 -3.66683219e+06]",1675211500
"[ 1.67520960e+09  4.36480801e+04  6.88543200e+06  6.37435121e+05
 -5.74582054e+06 -3.74010650e+06]","[ 1.67520960e+09  4.36167619e+04 -6.88512400e+06  1.12969054e+06
 -5.71679683e+06 -3.66683219e+06]",1675211600
"[ 1.67520960e+09  4.36216131e+04  6.88512300e+06 -1.86486135e+05
  4.91933387e+06 -4.81355336e+06]","[ 1.67520960e+09  4.35892061e+04 -6.88511700e+06 -4.21966872e+05
  5.28556285e+06 -4.39181199e+06]",1675211700
"[ 1.67520960e+09  4.36216131e+04  6.88512300e+06 -6.77792472e+04
  5.41624531e+06 -4.25024840e+06]","[ 1.67520960e+09  4.35892061e+04 -6.88511700e+06 -5.84599083e+05
  5.71912774e+06 -3.78857327e+06]",1675211800
"[ 1.67520960e+09  4.36216131e+04  6.88512300e+06  5.17545251e+04
  5.84708030e+06 -3.63509177e+06]","[ 1.67520960e+09  4.35892061e+04 -6.88511700e+06 -5.84599083e+05
  5.71912774e+06 -3.78857327e+06]",1675211900
"[ 1.67520960e+09  4.36406010e+04  6.88505600e+06 -7.00032413e+04
  5.94822817e+06 -3.46665218e+06]","[ 1.67520960e+09  4.35892061e+04 -6.88511700e+06 -7.40099354e+05
  6.08292093e+06 -3.13911243e+06]",1675212000
"[ 1.67520960e+09  4.36406010e+04  6.88505600e+06 -6.01108493e+05
  6.18030220e+06 -2.97431160e+06]","[ 1.67520960e+09  4.36380650e+04 -6.88787600e+06 -1.09019320e+06
  6.08978190e+06 -3.02783164e+06]",1675212100
"[ 1.67520960e+09  4.36406010e+04  6.88505600e+06 -1.12488020e+06
  6.33697632e+06 -2.44568431e+06]","[ 1.67520960e+09  4.36380650e+04 -6.88787600e+06 -1.09019320e+06
  6.08978190e+06 -3.02783164e+06]",1675212200
"[ 1.67520960e+09  4.36406010e+04  6.88505600e+06 -1.63492833e+06
  6.41633912e+06 -1.88721958e+06]","[ 1.67520960e+09  4.36372180e+04 -6.88725600e+06 -2.04781839e+06
  6.19840381e+06 -2.19539091e+06]",1675212300
"[ 1.67520960e+09  4.36192458e+04  6.88514200e+06  7.67100685e+05
 -4.94691042e+06 -4.72703016e+06]","[ 1.67520960e+09  4.36167619e+04 -6.88512400e+06  1.15923191e+06
 -5.26734280e+06 -4.27956636e+06]",1675212400
"[ 1.67520960e+09  4.36192458e+04  6.88514200e+06  5.50244496e+05
 -4.43052033e+06 -5.24145981e+06]","[ 1.67520960e+09  4.36216131e+04 -6.88512300e+06  1.86486135e+05
 -4.91933387e+06 -4.81337613e+06]",1675212500
"[ 1.67520960e+09  4.36380650e+04  6.88787600e+06 -1.82064305e+06
  5.00332415e+06 -4.36976454e+06]","[ 1.67520960e+09  4.36132357e+04 -6.88619300e+06 -1.55567346e+06
  5.32653412e+06 -4.07751104e+06]",1675212600
"[ 1.67520960e+09  4.35892061e+04  6.88511700e+06 -1.55166758e+06
  5.17802674e+06 -4.26441121e+06]","[ 1.67520960e+09  4.36132357e+04 -6.88619300e+06 -1.55567346e+06
  5.32653412e+06 -4.07751104e+06]",1675212700
"[ 1.67520960e+09  4.35892061e+04  6.88511700e+06 -1.55544492e+06
  5.62671301e+06 -3.65041475e+06]","[ 1.67520960e+09  4.36132357e+04 -6.88619300e+06 -1.55567346e+06
  5.32653412e+06 -4.07751104e+06]",1675212800
"[ 1.67520960e+09  4.35892061e+04  6.88511700e+06 -1.54024629e+06
  6.00675501e+06 -2.99188430e+06]","[ 1.67520960e+09  1.19735918e+02 -6.88807900e+06 -2.14673008e+06
  5.99932394e+06 -2.61617417e+06]",1675212900
"[ 1.67520960e+09  4.35892061e+04  6.88511700e+06 -1.50625710e+06
  6.31351635e+06 -2.29685372e+06]","[ 1.67520960e+09  1.19735918e+02 -6.88807900e+06 -2.14673008e+06
  5.99932394e+06 -2.61617417e+06]",1675213000
"[ 1.67520960e+09  4.36179423e+04  6.88516800e+06  2.47312364e+06
 -6.22782352e+06 -1.58221743e+06]","[ 1.67520960e+09  4.36372180e+04  6.88725600e+06  2.04781839e+06
 -6.19840381e+06 -2.19521057e+06]",1675213100
"[ 1.67520960e+09  4.36179423e+04  6.88516800e+06  2.30035984e+06
 -6.06637298e+06 -2.30499499e+06]","[ 1.67520960e+09  1.19735918e+02  6.88807900e+06  2.14673008e+06
 -5.99932394e+06 -2.61635138e+06]",1675213200
"[ 1.67520960e+09  4.36179423e+04  6.88516800e+06  2.09953294e+06
 -5.83091607e+06 -2.99965291e+06]","[ 1.67520960e+09  1.19735918e+02  6.88807900e+06  2.14673008e+06
 -5.99932394e+06 -2.61635138e+06]",1675213300
"[ 1.67520960e+09  4.36179423e+04  6.88516800e+06  1.87309291e+06
 -5.52432526e+06 -3.65771673e+06]","[ 1.67520960e+09  4.36062461e+04 -6.88652800e+06  1.90059507e+06
 -5.49854433e+06 -3.68465602e+06]",1675213400
"[ 1.67520960e+09  4.36179423e+04  6.88516800e+06  1.62380220e+06
 -5.15034078e+06 -4.27115847e+06]","[ 1.67520960e+09  4.36062461e+04 -6.88652800e+06  1.90059507e+06
 -5.49854433e+06 -3.68465602e+06]",1675213500
"[ 1.67520960e+09  4.36179423e+04  6.88516800e+06  1.35470201e+06
 -4.71352502e+06 -4.83249446e+06]","[ 1.67520960e+09  4.36380650e+04 -6.88787600e+06  1.82064305e+06
 -5.00332415e+06 -4.36958508e+06]",1675213600
