object1,object2,time
"[1.67520960e+09 4.28515158e+04 6.97090300e+06 1.00000000e+00
 8.66465577e+05 3.52037971e+05 6.90787922e+06]","[1.67520960e+09 4.28516069e+04 6.97104200e+06 1.00000000e+00
 8.67094665e+05 3.52230222e+05 6.90793075e+06]",1678072100
"[ 1.67520960e+09  4.28515158e+04  6.97090300e+06  1.00000000e+00
 -8.83941961e+05 -3.28755139e+05 -6.90681224e+06]","[ 1.67520960e+09  4.28516069e+04  6.97104200e+06  1.00000000e+00
 -8.84234775e+05 -3.29514327e+05 -6.90687887e+06]",1678075000
