object1,object2,time
"[ 1.67520960e+09  4.39395569e+04  6.85471400e+06 -7.13518447e+05
  6.42819389e+05 -6.78710385e+06  0.00000000e+00]","[ 1.67520960e+09  4.39333751e+04  6.85523500e+06 -7.17751326e+05
  6.42674457e+05 -6.78719747e+06  0.00000000e+00]",1676009300
"[ 1.67520960e+09  4.39533099e+04  6.85611700e+06 -4.85645732e+05
  7.30686957e+05  6.79974890e+06  0.00000000e+00]","[ 1.67520960e+09  4.39220283e+04  6.85645300e+06 -4.90432291e+05
  7.30535118e+05  6.79976046e+06  0.00000000e+00]",1676822000
