object1,object2,time
"[ 1.67520960e+09  4.44053596e+04  6.82316200e+06  5.77630994e+06
 -3.56999702e+06 -6.67011537e+05]","[ 1.67520960e+09  1.16840427e+02  6.83466900e+06  6.00251953e+06
 -3.26319793e+06 -1.84387937e+05]",1675209800
"[ 1.67520960e+09  4.44053596e+04  6.82316200e+06  5.74995448e+06
 -3.67226652e+06  8.95640025e+04]","[ 1.67520960e+09  1.16840427e+02  6.83466900e+06  6.00251953e+06
 -3.26319793e+06 -1.84387937e+05]",1675209900
"[ 1.67520960e+09  4.40721742e+04  6.83809600e+06  6.08108630e+06
 -3.10281255e+06  3.90513195e+05]","[ 1.67520960e+09  1.16840427e+02  6.83466900e+06  6.00251953e+06
 -3.26319793e+06 -1.84387937e+05]",1675210000
"[ 1.67520960e+09  4.41118538e+04  6.83497800e+06 -5.45336146e+06
  4.11991147e+06 -6.40506244e+04]","[ 1.67520960e+09  4.44053596e+04 -6.82316200e+06 -5.74995448e+06
  3.67226652e+06  8.93819131e+04]",1675210400
"[ 1.67520960e+09  4.41118538e+04  6.83497800e+06 -5.70891905e+06
  3.72023583e+06  5.33865949e+05]","[ 1.67520960e+09  4.44053596e+04 -6.82316200e+06 -5.74995448e+06
  3.67226652e+06  8.93819131e+04]",1675210500
"[ 1.67520960e+09  4.41118538e+04  6.83497800e+06 -5.89328710e+06
  3.27416929e+06  1.12512528e+06]","[ 1.67520960e+09  4.40721742e+04 -6.83809600e+06 -6.08108630e+06
  3.10281255e+06  3.90336173e+05]",1675210600
"[ 1.67520960e+09  4.46112583e+04  6.83569500e+06 -6.01110053e+06
  3.13044430e+06  8.90906900e+05]","[ 1.67520960e+09  4.40721742e+04 -6.83809600e+06 -6.08108630e+06
  3.10281255e+06  3.90336173e+05]",1675210900
"[ 1.67520960e+09  4.42968334e+04  6.82393800e+06 -5.89378101e+06
  3.36997620e+06  6.87557732e+05]","[ 1.67520960e+09  4.44053596e+04 -6.82316200e+06 -5.74995448e+06
  3.67226652e+06  8.93819131e+04]",1675211000
"[ 1.67520960e+09  4.42968334e+04  6.82393800e+06 -5.87285837e+06
  3.47432334e+06 -6.88601248e+04]","[ 1.67520960e+09  4.44053596e+04 -6.82316200e+06 -5.77630994e+06
  3.56999702e+06 -6.66829061e+05]",1675211100
"[ 1.67520960e+09  4.42968334e+04  6.82393800e+06 -5.77834623e+06
  3.53513569e+06 -8.24415134e+05]","[ 1.67520960e+09  4.44053596e+04 -6.82316200e+06 -5.77630994e+06
  3.56999702e+06 -6.66829061e+05]",1675211200
"[ 1.67520960e+09  4.42926129e+04  6.82005500e+06 -5.44456128e+06
  3.97249674e+06 -1.04363422e+06]","[ 1.67520960e+09  4.44053596e+04 -6.82316200e+06 -5.77630994e+06
  3.56999702e+06 -6.66829061e+05]",1675211300
"[ 1.67520960e+09  4.42926129e+04  6.82005500e+06 -5.83578380e+06
  3.47541051e+06 -6.15060489e+05]","[ 1.67520960e+09  4.44053596e+04 -6.82316200e+06 -5.77630994e+06
  3.56999702e+06 -6.66829061e+05]",1675211400
"[ 1.67520960e+09  4.42926129e+04  6.82005500e+06 -6.15375655e+06
  2.93470151e+06 -1.78766623e+05]","[ 1.67520960e+09  1.16840427e+02 -6.83466900e+06 -6.00251953e+06
  3.26319793e+06 -1.84209236e+05]",1675211500
"[ 1.67520960e+09  4.41007509e+04  6.83643800e+06  5.23620575e+06
 -4.36329735e+06 -5.29783070e+05]","[ 1.67520960e+09  4.41118538e+04 -6.83497800e+06  5.45336146e+06
 -4.11991147e+06 -6.38730868e+04]",1675211600
"[ 1.67520960e+09  4.41007509e+04  6.83643800e+06  5.09530349e+06
 -4.37458662e+06 -1.27974948e+06]","[ 1.67520960e+09  4.42926129e+04 -6.82005500e+06  5.44456128e+06
 -3.97249674e+06 -1.04345555e+06]",1675211700
"[ 1.67520960e+09  4.40925940e+04  6.83466900e+06 -4.73175424e+06
  4.83516422e+06 -9.71796822e+05]","[ 1.67520960e+09  4.41007509e+04 -6.83643800e+06 -5.09530349e+06
  4.37458662e+06 -1.27957009e+06]",1675211800
"[ 1.67520960e+09  4.40925940e+04  6.83466900e+06 -4.81366367e+06
  4.84726316e+06 -2.13031214e+05]","[ 1.67520960e+09  4.41007509e+04 -6.83643800e+06 -5.23620575e+06
  4.36329735e+06 -5.29605172e+05]",1675211900
"[ 1.67520960e+09  4.42387296e+04  6.82416000e+06  5.34188551e+06
 -4.23546924e+06  3.06951505e+05]","[ 1.67520960e+09  4.41118538e+04 -6.83497800e+06  5.45336146e+06
 -4.11991147e+06 -6.38730868e+04]",1675212000
"[ 1.67520960e+09  4.42387296e+04  6.82416000e+06  5.62384600e+06
 -3.85438073e+06 -2.92001723e+05]","[ 1.67520960e+09  1.16840427e+02  6.83466900e+06  6.00251953e+06
 -3.26319793e+06 -1.84387937e+05]",1675212100
"[ 1.67520960e+09  4.42387296e+04  6.82416000e+06  5.83534410e+06
 -3.42499986e+06 -8.87296398e+05]","[ 1.67520960e+09  1.16840427e+02  6.83466900e+06  6.00251953e+06
 -3.26319793e+06 -1.84387937e+05]",1675212200
"[ 1.67520960e+09  1.16840427e+02  6.83466900e+06 -6.35879584e+06
  2.49763314e+06  2.00610311e+05]","[ 1.67520960e+09  4.40721742e+04 -6.83809600e+06 -6.08108630e+06
  3.10281255e+06  3.90336173e+05]",1675212300
"[ 1.67520960e+09  4.42601289e+04  6.82404400e+06 -4.83453453e+06
  4.67724080e+06 -1.14815977e+06]","[ 1.67520960e+09  4.41007509e+04 -6.83643800e+06 -5.09530349e+06
  4.37458662e+06 -1.27957009e+06]",1675212400
"[ 1.67520960e+09  4.42601289e+04  6.82404400e+06 -5.20976392e+06
  4.37216487e+06 -5.56875915e+05]","[ 1.67520960e+09  4.41007509e+04 -6.83643800e+06 -5.23620575e+06
  4.36329735e+06 -5.29605172e+05]",1675212500
"[ 1.67520960e+09  4.47873788e+04  6.82190000e+06 -4.65745861e+06
  4.73308577e+06 -1.56342507e+06]","[ 1.67520960e+09  4.41007509e+04 -6.83643800e+06 -5.09530349e+06
  4.37458662e+06 -1.27957009e+06]",1675212600
"[ 1.67520960e+09  4.44053596e+04  6.82316200e+06 -5.75273395e+06
  3.66859234e+06 -5.49725117e+04]","[ 1.67520960e+09  1.16840427e+02 -6.83466900e+06 -6.00251953e+06
  3.26319793e+06 -1.84209236e+05]",1675212700
"[ 1.67520960e+09  4.44053596e+04  6.82316200e+06 -5.65757518e+06
  3.72695251e+06 -8.10683507e+05]","[ 1.67520960e+09  4.42926129e+04  6.82005500e+06 -5.44456128e+06
  3.97249674e+06 -1.04327788e+06]",1675212800
"[ 1.67520960e+09  4.44053596e+04  6.82316200e+06 -5.49150034e+06
  3.73859641e+06 -1.55623282e+06]","[ 1.67520960e+09  4.41007509e+04 -6.83643800e+06 -5.09530349e+06
  4.37458662e+06 -1.27957009e+06]",1675212900
"[ 1.67520960e+009  4.44053596e+004  6.82316200e+006  1.51368763e-313
 -6.08148073e-314  4.39428171e-303]","[1.63570090e+09 5.87787099e+00 6.82005500e+06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",1675213000
"[ 1.67520960e+09  4.42776643e+04  6.82180800e+06 -4.66628116e+06
  4.77793254e+06 -1.39077145e+06]","[ 1.67520960e+09  4.41007509e+04 -6.83643800e+06 -5.09530349e+06
  4.37458662e+06 -1.27957009e+06]",1675213100
"[ 1.67520960e+09  4.41118538e+04  6.83497800e+06  5.41848786e+06
 -4.16397440e+06  1.35021199e+05]","[ 1.67520960e+09  4.44053596e+04  6.82316200e+06  5.74995448e+06
 -3.67226652e+06  8.92004195e+04]",1675213200
"[ 1.67520960e+09  4.41118538e+04  6.83497800e+06  5.68229004e+06
 -3.77014037e+06 -4.63190888e+05]","[ 1.67520960e+09  1.16840427e+02  6.83466900e+06  6.00251953e+06
 -3.26319793e+06 -1.84387937e+05]",1675213300
"[ 1.67520960e+09  4.41118538e+04  6.83497800e+06  5.87523472e+06
 -3.32929314e+06 -1.05562704e+06]","[ 1.67520960e+09  4.44053596e+04  6.82316200e+06  5.77630994e+06
 -3.56999702e+06 -6.66650872e+05]",1675213400
"[1.67520960e+009 4.44053596e+004 6.82316200e+006 1.61263050e-313
 2.91826411e-314 4.67029403e-303]","[1.63570090e+09 5.87787099e+00 6.82005500e+06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",1675213500
"[ 1.67520960e+09  4.46112583e+04  6.83569500e+06  5.75906123e+06
 -3.26730113e+06 -1.69843553e+06]","[ 1.67520960e+09  4.44053596e+04 -6.82316200e+06  5.49150034e+06
 -3.73859641e+06 -1.55605287e+06]",1675213600
"[ 1.67520960e+09  4.42968334e+04  6.82393800e+06  5.83623355e+06
 -3.21492045e+06 -1.47268266e+06]","[ 1.67520960e+09  4.44053596e+04 -6.82316200e+06  5.49150034e+06
 -3.73859641e+06 -1.55605287e+06]",1675213700
