object1,object2,time
"[ 1.67520960e+09  4.39894535e+04  6.84885200e+06  3.06839668e+05
 -8.18349937e+05 -6.79285849e+06  0.00000000e+00]","[ 1.67520960e+09  4.40276802e+04  6.84987400e+06  3.35250862e+05
 -8.18297335e+05 -6.79255255e+06  0.00000000e+00]",1677280600
"[ 1.67520960e+09  4.40156416e+04  6.85107000e+06 -4.47092886e+04
 -8.96514452e+05 -6.79201171e+06  0.00000000e+00]","[ 1.67520960e+09  4.39598485e+04  6.85206100e+06 -1.42213109e+05
 -8.96414814e+05 -6.79168284e+06  0.00000000e+00]",1678307800
"[1.67520960e+09 4.39894535e+04 6.84885200e+06 4.24496471e+03
 9.09623480e+05 6.78817655e+06 0.00000000e+00]","[ 1.67520960e+09  4.39834362e+04  6.84919000e+06 -4.89609394e+04
  9.09347150e+05  6.78837935e+06  0.00000000e+00]",1678338300
