object1,object2,time
"[ 1.67520960e+09  4.40359143e+04  6.84167200e+06  1.00000000e+00
  1.33181702e+06 -6.51282823e+06 -1.61796405e+06]","[ 1.67520960e+09  4.40585044e+04  6.84194900e+06  0.00000000e+00
  1.33208548e+06 -6.51310340e+06 -1.61780668e+06]",1913619700
"[ 1.67520960e+09  4.40248921e+04  6.83951200e+06  0.00000000e+00
 -9.20957726e+05 -5.08553542e+05 -6.75811620e+06]","[ 1.67520960e+09  4.40924326e+04  6.83990400e+06  1.00000000e+00
 -9.21230267e+05 -5.08187022e+05 -6.75850335e+06]",1929442900
