object1,object2,time
"[ 1.67520960e+09  4.37821943e+04  6.86875500e+06  1.00000000e+00
  7.70985159e+04 -8.59844329e+05  6.81428784e+06]","[ 1.67520960e+09  4.37803920e+04  6.86889000e+06  1.00000000e+00
  7.68864340e+04 -8.60339434e+05  6.81436383e+06]",1812229200
"[ 1.67520960e+09  4.37821943e+04  6.86875500e+06  1.00000000e+00
  3.85975207e+02  8.70778442e+05 -6.81333545e+06]","[ 1.67520960e+09  4.37789242e+04  6.86898600e+06  1.00000000e+00
 -1.25353481e+02  8.71216179e+05 -6.81351239e+06]",1841375100
"[ 1.67520960e+09  4.37803920e+04  6.86889000e+06  1.00000000e+00
 -5.82565367e+04  8.63123786e+05 -6.81419646e+06]","[ 1.67520960e+09  4.37789242e+04  6.86898600e+06  1.00000000e+00
 -5.85758198e+04  8.62761612e+05 -6.81433635e+06]",1882361000
"[ 1.67520960e+09  4.37821943e+04  6.86875500e+06  1.00000000e+00
 -9.17481603e+04  8.57764360e+05 -6.81436848e+06]","[ 1.67520960e+09  4.37789242e+04  6.86898600e+06  1.00000000e+00
 -9.20370647e+04  8.57892615e+05 -6.81458129e+06]",1953686900
