object1,object2,time
"[1.67520960e+09 4.35700605e+04 6.89082300e+06 3.77298352e+06
 4.09239693e+06 4.06205913e+06]","[1.67520960e+09 2.53050848e+02 6.88995000e+06 3.90486514e+06
 3.58772457e+06 4.39905350e+06]",1675210900
"[1.67520960e+09 4.35700605e+04 6.89082300e+06 3.54031102e+06
 3.66018065e+06 4.64249040e+06]","[1.67520960e+09 2.53050848e+02 6.88995000e+06 3.90486514e+06
 3.58772457e+06 4.39905350e+06]",1675211000
"[1.67520960e+09 4.35699526e+04 6.89067400e+06 3.32947562e+06
 3.85199926e+06 4.64306817e+06]","[1.67520960e+09 2.53050848e+02 6.88995000e+06 3.90486514e+06
 3.58772457e+06 4.39905350e+06]",1675211100
"[ 1.67520960e+09  4.36292166e+04  6.89168200e+06 -3.82625525e+06
 -4.24020378e+06  3.85690595e+06]","[ 1.67520960e+09  4.35700605e+04 -6.89082300e+06 -3.77298352e+06
 -4.09239693e+06  4.06188058e+06]",1675211600
"[ 1.67520960e+09  4.36292166e+04  6.89168200e+06 -3.62997837e+06
 -3.80870928e+06  4.45109778e+06]","[ 1.67520960e+09  4.35700605e+04 -6.89082300e+06 -3.77298352e+06
 -4.09239693e+06  4.06188058e+06]",1675211700
"[ 1.67520960e+09  4.36292166e+04  6.89168200e+06 -3.38954312e+06
 -3.33088215e+06  4.99114239e+06]","[ 1.67520960e+09  4.35700605e+04 -6.89082300e+06 -3.54031102e+06
 -3.66018065e+06  4.64230851e+06]",1675211800
"[ 1.67520960e+09  4.36276473e+04  6.89016000e+06 -4.02502830e+06
 -3.21050930e+06  4.57887344e+06]","[ 1.67520960e+09  2.53050848e+02 -6.88995000e+06 -3.90486514e+06
 -3.58772457e+06  4.39887330e+06]",1675212600
"[ 1.67520960e+09  4.36276473e+04  6.89016000e+06 -3.85294658e+06
 -3.85534751e+06  4.21490249e+06]","[ 1.67520960e+09  4.35700605e+04 -6.89082300e+06 -3.77298352e+06
 -4.09239693e+06  4.06188058e+06]",1675212700
"[ 1.67520960e+09  4.36276473e+04  6.89016000e+06 -3.63396305e+06
 -4.45325470e+06  3.79962366e+06]","[ 1.67520960e+09  4.35700605e+04 -6.89082300e+06 -3.77298352e+06
 -4.09239693e+06  4.06188058e+06]",1675212800
"[1.67520960e+09 4.36038767e+04 6.89178400e+06 4.06484721e+06
 3.79218818e+06 4.07345218e+06]","[1.67520960e+09 2.53050848e+02 6.88995000e+06 3.90486514e+06
 3.58772457e+06 4.39905350e+06]",1675212900
"[1.67520960e+09 4.36038767e+04 6.89178400e+06 4.45303626e+06
 3.97413548e+06 3.44578031e+06]","[ 1.67520960e+09  4.36292166e+04 -6.89168200e+06  3.82625525e+06
  4.24020378e+06  3.85672588e+06]",1675213000
"[ 1.67520960e+09  4.36130013e+04  6.89027200e+06 -4.16576420e+06
 -3.25818475e+06  4.41661511e+06]","[ 1.67520960e+09  2.53050848e+02 -6.88995000e+06 -3.90486514e+06
 -3.58772457e+06  4.39887330e+06]",1675213100
"[ 1.67520960e+09  4.36130013e+04  6.89027200e+06 -3.53588106e+06
 -3.52021491e+06  4.75199751e+06]","[ 1.67520960e+09  2.53050848e+02 -6.88995000e+06 -3.90486514e+06
 -3.58772457e+06  4.39887330e+06]",1675213200
"[ 1.67520960e+09  4.36130013e+04  6.89027200e+06 -2.86295785e+06
 -3.73939569e+06  5.02953681e+06]","[ 1.67520960e+09  4.35700605e+04 -6.89082300e+06 -3.54031102e+06
 -3.66018065e+06  4.64230851e+06]",1675213300
"[1.67520960e+09 4.35549813e+04 6.88983800e+06 2.42786391e+06
 3.76781173e+06 5.23248882e+06]","[ 1.67520960e+09  4.36130013e+04 -6.89027200e+06  2.86295785e+06
  3.73939569e+06  5.02935493e+06]",1675213400
"[1.67520960e+09 4.35733439e+04 6.89415800e+06 4.27513496e+06
 3.94548426e+06 3.69943098e+06]","[ 1.67520960e+09  4.36292166e+04 -6.89168200e+06  3.82625525e+06
  4.24020378e+06  3.85672588e+06]",1675215000
"[1.67520960e+09 4.35733439e+04 6.89415800e+06 4.05185988e+06
 3.54558074e+06 4.30589169e+06]","[1.67520960e+09 2.53050848e+02 6.88995000e+06 3.90486514e+06
 3.58772457e+06 4.39905350e+06]",1675215100
