object1,object2,time
"[ 1.67520960e+09  4.37781028e+04  6.87834800e+06  1.00000000e+00
  3.17843071e+06 -1.47185098e+04 -6.09992072e+06]","[ 1.67520960e+09  4.36892705e+04  6.87887100e+06  1.00000000e+00
  3.17863014e+06 -1.45939550e+04 -6.10040685e+06]",1691498900
"[ 1.67520960e+09  4.37090409e+04  6.87970000e+06  1.00000000e+00
 -4.12879676e+06 -1.03469380e+06  5.40487910e+06]","[ 1.67520960e+09  4.36827024e+04  6.87977800e+06  1.00000000e+00
 -4.12845291e+06 -1.03461711e+06  5.40525571e+06]",1785136200
