object1,object2,time
"[1.67520960e+09 4.43161245e+04 6.81419500e+06 5.59094240e+06
 3.35241007e+06 1.98392623e+06]","[1.67520960e+09 2.08071179e+02 6.81666400e+06 5.47165409e+06
 3.22527067e+06 2.47498257e+06]",1675209800
"[1.67520960e+09 4.43161245e+04 6.81419500e+06 5.16092334e+06
 3.65362757e+06 2.53951361e+06]","[1.67520960e+09 2.08071179e+02 6.81666400e+06 5.47165409e+06
 3.22527067e+06 2.47498257e+06]",1675209900
"[1.67520960e+09 4.42711145e+04 6.81728600e+06 5.14052271e+06
 3.86957759e+06 2.25317196e+06]","[1.67520960e+09 2.08071179e+02 6.81666400e+06 5.47165409e+06
 3.22527067e+06 2.47498257e+06]",1675210300
"[1.67520960e+09 4.43305530e+04 6.81519900e+06 5.83397176e+06
 2.89951694e+06 2.00112780e+06]","[1.67520960e+09 2.08071179e+02 6.81666400e+06 5.47165409e+06
 3.22527067e+06 2.47498257e+06]",1675210800
"[1.67520960e+09 4.43305530e+04 6.81519900e+06 5.64379323e+06
 2.69113757e+06 2.71151507e+06]","[1.67520960e+09 2.08071179e+02 6.81666400e+06 5.47165409e+06
 3.22527067e+06 2.47498257e+06]",1675210900
"[ 1.67520960e+09  4.43190677e+04  6.81831200e+06 -5.80882539e+06
 -3.19111739e+06  1.60115455e+06]","[ 1.67520960e+09  4.43161245e+04 -6.81419500e+06 -5.59094240e+06
 -3.35241007e+06  1.98374524e+06]",1675211200
"[ 1.67520960e+09  4.42565199e+04  6.81771000e+06 -5.08367683e+06
 -4.04948501e+06  2.05890036e+06]","[ 1.67520960e+09  4.43161245e+04 -6.81419500e+06 -5.16092334e+06
 -3.65362757e+06  2.53933519e+06]",1675211300
"[ 1.67520960e+09  4.42565199e+04  6.81771000e+06 -4.93232352e+06
 -3.80702608e+06  2.76765367e+06]","[ 1.67520960e+09  4.43161245e+04 -6.81419500e+06 -5.16092334e+06
 -3.65362757e+06  2.53933519e+06]",1675211400
"[1.67520960e+009 4.43161245e+004 6.81419500e+006 3.17768885e-308
 4.97570395e-177 0.00000000e+000]","[1.63569794e+09 2.93000290e+00 6.80158000e+06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",1675211500
"[1.67520960e+009 4.43161245e+004 6.81419500e+006 1.31291791e-308
 2.05579941e-177 0.00000000e+000]","[1.63569794e+09 2.93000290e+00 6.80158000e+06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",1675211600
"[ 1.67520960e+09  4.44125405e+04  6.80704200e+06 -6.05065518e+06
 -2.74261921e+06  1.48439638e+06]","[ 1.67520960e+09  4.43305530e+04 -6.81519900e+06 -5.83397176e+06
 -2.89951694e+06  2.00094948e+06]",1675211700
