object1,object2,time
"[ 1.67520960e+09  4.40454537e+04  6.84351200e+06  6.42514050e+06
 -2.25283106e+06 -6.89911802e+05]","[ 1.67520960e+09  3.43580387e+02  6.84716000e+06  6.42518083e+06
 -2.35806080e+06 -2.00500845e+05]",1675210900
"[ 1.67520960e+09  4.40454537e+04  6.84351200e+06  6.46924914e+06
 -2.23100688e+06  7.12770507e+04]","[ 1.67520960e+09  3.43580387e+02  6.84716000e+06  6.42518083e+06
 -2.35806080e+06 -2.00500845e+05]",1675211000
"[ 1.67520960e+09  4.40360780e+04  6.84447300e+06 -6.50245101e+06
  1.79332782e+06 -1.16142877e+06]","[ 1.67520960e+09  4.40454537e+04 -6.84351200e+06 -6.42514050e+06
  2.25283106e+06 -6.89732982e+05]",1675211100
"[ 1.67520960e+09  4.40431248e+04  6.84388200e+06  6.58854637e+06
 -1.38002949e+06 -1.23502881e+06]","[ 1.67520960e+09  4.40360780e+04 -6.84447300e+06  6.50245101e+06
 -1.79332782e+06 -1.16124924e+06]",1675211700
"[ 1.67520960e+09  4.40227345e+04  6.84584300e+06 -6.62634023e+06
  1.25227219e+06 -1.17855672e+06]","[ 1.67520960e+09  4.40431248e+04 -6.84388200e+06 -6.58854637e+06
  1.38002949e+06 -1.23484680e+06]",1675211800
"[ 1.67520960e+09  4.40227345e+04  6.84584300e+06 -6.46315742e+06
  1.18522824e+06 -1.92051987e+06]","[ 1.67520960e+09  4.40431248e+04 -6.84388200e+06 -6.58854637e+06
  1.38002949e+06 -1.23484680e+06]",1675211900
"[ 1.67520960e+09  4.43058774e+04  6.84610400e+06 -6.41545522e+06
  1.87765159e+06 -1.47834329e+06]","[ 1.67520960e+09  4.40431248e+04 -6.84388200e+06 -6.58854637e+06
  1.38002949e+06 -1.23484680e+06]",1675212000
"[ 1.67520960e+09  4.40802867e+04  6.84341500e+06 -6.73158958e+06
  8.30503873e+05 -9.10106551e+05]","[ 1.67520960e+09  4.40431248e+04 -6.84388200e+06 -6.58854637e+06
  1.38002949e+06 -1.23484680e+06]",1675212100
"[ 1.67520960e+09  4.40802867e+04  6.84341500e+06 -6.57817531e+06
  9.09471015e+05 -1.65311854e+06]","[ 1.67520960e+09  4.40431248e+04 -6.84388200e+06 -6.58854637e+06
  1.38002949e+06 -1.23484680e+06]",1675212200
"[ 1.67520960e+09  4.40284790e+04  6.84526200e+06 -6.68197121e+06
  7.08818476e+05 -1.30631119e+06]","[ 1.67520960e+09  4.40431248e+04 -6.84388200e+06 -6.58854637e+06
  1.38002949e+06 -1.23484680e+06]",1675212300
"[ 1.67520960e+09  4.40060094e+04  6.84756800e+06  6.74151874e+06
  5.23366239e+04 -1.19932210e+06]","[ 1.67520960e+09  4.40284790e+04 -6.84526200e+06  6.68197121e+06
 -7.08818476e+05 -1.30612989e+06]",1675212400
"[ 1.67520960e+09  3.43580387e+02  6.84716000e+06 -6.18464654e+06
  2.93218005e+06  1.89914203e+05]","[ 1.67520960e+09  4.40454537e+04 -6.84351200e+06 -6.46924914e+06
  2.23100688e+06  7.10942898e+04]",1675212500
"[ 1.67520960e+09  4.40462495e+04  6.84506000e+06  6.39010682e+06
 -1.15826662e+06 -2.16328445e+06]","[ 1.67520960e+09  4.40227345e+04 -6.84584300e+06  6.46315742e+06
 -1.18522824e+06 -1.92034139e+06]",1675213100
"[ 1.67520960e+09  4.40462495e+04  6.84506000e+06  6.61564326e+06
 -9.84284112e+05 -1.45577999e+06]","[ 1.67520960e+09  4.40227345e+04 -6.84584300e+06  6.62634023e+06
 -1.25227219e+06 -1.17837624e+06]",1675213200
"[ 1.67520960e+09  4.40462495e+04  6.84506000e+06  6.75904703e+06
 -7.98081795e+05 -7.30202136e+05]","[ 1.67520960e+09  4.40227345e+04 -6.84584300e+06  6.62634023e+06
 -1.25227219e+06 -1.17837624e+06]",1675213300
"[ 1.67520960e+09  4.40360780e+04  6.84447300e+06  6.27397913e+06
 -1.87925378e+06 -1.98806483e+06]","[ 1.67520960e+09  4.40227345e+04 -6.84584300e+06  6.46315742e+06
 -1.18522824e+06 -1.92034139e+06]",1675213500
