object1,object2,time
"[1.67520960e+09 4.38265014e+04 6.86362700e+06 6.63927107e+06
 1.70976719e+06 3.25808913e+05]","[ 1.67520960e+09  1.64518815e+02  6.86211000e+06  6.72530951e+06
  1.32851688e+06 -3.06281716e+05]",1675210000
"[ 1.67520960e+09  4.39097013e+04  6.86258000e+06 -6.65995185e+06
 -1.46465688e+06  7.71249499e+05]","[ 1.67520960e+09  4.38265014e+04 -6.86362700e+06 -6.63927107e+06
 -1.70976719e+06  3.25627239e+05]",1675210100
"[ 1.67520960e+09  4.38952481e+04  6.86276400e+06 -6.48500469e+06
 -2.23880829e+06  1.73151003e+05]","[ 1.67520960e+09  4.38265014e+04 -6.86362700e+06 -6.63927107e+06
 -1.70976719e+06  3.25627239e+05]",1675211700
"[ 1.67520960e+09  4.39014073e+04  6.86161800e+06 -6.59988581e+06
 -1.87179424e+06 -1.40339831e+05]","[ 1.67520960e+09  4.38265014e+04 -6.86362700e+06 -6.63927107e+06
 -1.70976719e+06  3.25627239e+05]",1675211800
"[ 1.67520960e+09  4.39014073e+04  6.86161800e+06 -6.60041924e+06
 -1.77151959e+06  6.14805519e+05]","[ 1.67520960e+09  4.38265014e+04 -6.86362700e+06 -6.63927107e+06
 -1.70976719e+06  3.25627239e+05]",1675211900
"[ 1.67520960e+09  4.38550849e+04  6.86596500e+06 -6.61288292e+06
 -1.80617067e+06  3.86008301e+05]","[ 1.67520960e+09  4.38265014e+04 -6.86362700e+06 -6.63927107e+06
 -1.70976719e+06  3.25627239e+05]",1675212200
"[ 1.67520960e+09  4.38550849e+04  6.86596500e+06 -6.63895651e+06
 -1.71156103e+06 -3.69175586e+05]","[ 1.67520960e+09  4.38265014e+04 -6.86362700e+06 -6.63927107e+06
 -1.70976719e+06  3.25627239e+05]",1675212300
"[ 1.67520960e+09  4.38882832e+04  6.86318800e+06 -6.54666411e+06
 -2.02164173e+06  3.96866818e+05]","[ 1.67520960e+09  4.38265014e+04 -6.86362700e+06 -6.63927107e+06
 -1.70976719e+06  3.25627239e+05]",1675212400
"[ 1.67520960e+09  4.38882832e+04  6.86318800e+06 -6.57626213e+06
 -1.93064714e+06 -3.58786141e+05]","[ 1.67520960e+09  4.38265014e+04 -6.86362700e+06 -6.63927107e+06
 -1.70976719e+06  3.25627239e+05]",1675212500
"[1.67520960e+09 4.39097013e+04 6.86258000e+06 6.58641750e+06
 1.67433161e+06 9.54317756e+05]","[1.67520960e+09 4.38265014e+04 6.86362700e+06 6.63927107e+06
 1.70976719e+06 3.25449875e+05]",1675212700
"[1.67520960e+09 4.39097013e+04 6.86258000e+06 6.67153149e+06
 1.59532724e+06 2.01501304e+05]","[ 1.67520960e+09  1.64518815e+02  6.86211000e+06  6.72530951e+06
  1.32851688e+06 -3.06281716e+05]",1675212800
"[ 1.67520960e+09  4.39097013e+04  6.86258000e+06  6.67445105e+06
  1.49666816e+06 -5.53797679e+05]","[ 1.67520960e+09  1.64518815e+02  6.86211000e+06  6.72530951e+06
  1.32851688e+06 -3.06281716e+05]",1675212900
"[ 1.67520960e+09  4.38265014e+04  6.86362700e+06 -6.62133748e+06
 -1.53228516e+06  9.58836662e+05]","[ 1.67520960e+09  4.39097013e+04 -6.86258000e+06 -6.58641750e+06
 -1.67433161e+06  9.54135807e+05]",1675213000
"[ 1.67520960e+09  4.38265014e+04  6.86362700e+06 -6.50037810e+06
 -1.40220197e+06  1.69949694e+06]","[ 1.67520960e+09  4.39097013e+04 -6.86258000e+06 -6.58641750e+06
 -1.67433161e+06  9.54135807e+05]",1675213100
"[1.67520960e+09 4.38648812e+04 6.86269300e+06 6.30722525e+06
 2.65810072e+06 4.99965431e+05]","[ 1.67520960e+09  4.38952481e+04 -6.86276400e+06  6.48500469e+06
  2.23880829e+06  1.72973938e+05]",1675213500
"[ 1.67520960e+09  4.38648812e+04  6.86269300e+06  6.35661443e+06
  2.57385830e+06 -2.55463647e+05]","[ 1.67520960e+09  4.38952481e+04 -6.86276400e+06  6.48500469e+06
  2.23880829e+06  1.72973938e+05]",1675213600
"[ 1.67520960e+09  4.38377488e+04  6.86534500e+06  6.41507734e+06
  2.43964921e+06 -1.66902663e+05]","[ 1.67520960e+09  4.38952481e+04 -6.86276400e+06  6.48500469e+06
  2.23880829e+06  1.72973938e+05]",1675213700
"[1.67520960e+09 4.38377488e+04 6.86534500e+06 6.42758575e+06
 2.33953316e+06 5.87952321e+05]","[1.67520960e+09 4.38265014e+04 6.86362700e+06 6.63927107e+06
 1.70976719e+06 3.25449875e+05]",1675213800
"[1.67520960e+09 4.38377488e+04 6.86534500e+06 6.36100073e+06
 2.21062843e+06 1.33557237e+06]","[1.67520960e+09 4.39097013e+04 6.86258000e+06 6.58641750e+06
 1.67433161e+06 9.53956246e+05]",1675213900
"[1.67520960e+09 4.39014073e+04 6.86161800e+06 6.29552956e+06
 2.01277498e+06 1.84305345e+06]","[ 1.67520960e+09  4.38265014e+04 -6.86362700e+06  6.50037810e+06
  1.40220197e+06  1.69931886e+06]",1675214400
"[1.67520960e+09 4.39014073e+04 6.86161800e+06 6.48016782e+06
 1.96652558e+06 1.10544278e+06]","[ 1.67520960e+09  4.39097013e+04 -6.86258000e+06  6.65995185e+06
  1.46465688e+06  7.71066625e+05]",1675214500
"[1.67520960e+09 4.39014073e+04 6.86161800e+06 6.58493573e+06
 1.89603807e+06 3.54207146e+05]","[ 1.67520960e+09  4.39097013e+04 -6.86258000e+06  6.65995185e+06
  1.46465688e+06  7.71066625e+05]",1675214600
"[ 1.67520960e+09  4.39014073e+04  6.86161800e+06  6.60854198e+06
  1.80218122e+06 -4.01394220e+05]","[ 1.67520960e+09  1.64518815e+02  6.86211000e+06  6.72530951e+06
  1.32851688e+06 -3.06281716e+05]",1675214700
"[ 1.67520960e+09  4.39014073e+04  6.86161800e+06  6.55069563e+06
  1.68611185e+06 -1.15204826e+06]","[ 1.67520960e+09  4.38550849e+04 -6.86596500e+06  6.63895651e+06
  1.71156103e+06 -3.68994089e+05]",1675214800
