object1,object2,time
"[ 1.67520960e+09  4.47239485e+04  6.76840000e+06 -2.47930064e+06
 -5.78987911e+06  2.47822656e+06]","[ 1.67520960e+09  2.81672234e+01  6.77954200e+06 -1.77231622e+06
 -6.04750885e+06  2.49974431e+06]",1675210400
"[ 1.67520960e+09  4.47239485e+04  6.76840000e+06 -2.17575993e+06
 -6.13247902e+06  1.86279583e+06]","[ 1.67520960e+09  2.81672234e+01  6.77954200e+06 -1.77231622e+06
 -6.04750885e+06  2.49974431e+06]",1675210500
"[1.67520960e+09 4.47301153e+04 6.77396000e+06 2.42526899e+06
 5.79000277e+06 2.54567717e+06]","[ 1.67520960e+09  4.47239485e+04 -6.76840000e+06  2.47930064e+06
  5.78987911e+06  2.47804673e+06]",1675211500
"[1.67520960e+09 4.47301153e+04 6.77396000e+06 2.61047956e+06
 5.97813079e+06 1.82589232e+06]","[ 1.67520960e+09  4.47239485e+04 -6.76840000e+06  2.47930064e+06
  5.78987911e+06  2.47804673e+06]",1675211600
"[ 1.67520960e+09  4.47755524e+04  6.76985600e+06 -3.10577385e+06
 -5.61907807e+06  2.14734270e+06]","[ 1.67520960e+09  4.47239485e+04  6.76840000e+06 -2.47930064e+06
 -5.78987911e+06  2.47786826e+06]",1675211700
"[ 1.67520960e+09  4.47755524e+04  6.76985600e+06 -2.55848340e+06
 -5.66468013e+06  2.68263154e+06]","[ 1.67520960e+09  4.47301153e+04 -6.77396000e+06 -2.42526899e+06
 -5.79000277e+06  2.54549661e+06]",1675211800
"[ 1.67520960e+09  4.47755524e+04  6.76985600e+06 -1.97836039e+06
 -5.63758834e+06  3.18349465e+06]","[ 1.67520960e+09  4.47301153e+04 -6.77396000e+06 -2.42526899e+06
 -5.79000277e+06  2.54549661e+06]",1675211900
"[ 1.67520960e+09  4.47560326e+04  6.77096900e+06 -2.82123953e+06
 -5.68977920e+06  2.34798665e+06]","[ 1.67520960e+09  4.47301153e+04 -6.77396000e+06 -2.42526899e+06
 -5.79000277e+06  2.54549661e+06]",1675212200
"[ 1.67520960e+09  4.47560326e+04  6.77096900e+06 -2.26089205e+06
 -5.69995671e+06  2.87139022e+06]","[ 1.67520960e+09  2.81672234e+01  6.77954200e+06 -1.77231622e+06
 -6.04750885e+06  2.49974431e+06]",1675212300
"[1.67520960e+09 4.46929747e+04 6.77818800e+06 2.75332622e+06
 5.57879526e+06 2.69073796e+06]","[ 1.67520960e+09  4.47239485e+04 -6.76840000e+06  2.47930064e+06
  5.78987911e+06  2.47804673e+06]",1675212400
"[1.67520960e+09 4.46929747e+04 6.77818800e+06 2.53916615e+06
 5.94085241e+06 2.05005866e+06]","[ 1.67520960e+09  4.47239485e+04 -6.76840000e+06  2.47930064e+06
  5.78987911e+06  2.47804673e+06]",1675212500
"[1.67520960e+09 4.47327306e+04 6.77462000e+06 3.27880639e+06
 5.31295666e+06 2.63009436e+06]","[ 1.67520960e+09  4.47755524e+04 -6.76985600e+06  3.10577385e+06
  5.61907807e+06  2.14716115e+06]",1675212600
"[1.67520960e+09 4.47327306e+04 6.77462000e+06 2.93455910e+06
 5.73657182e+06 2.09178936e+06]","[ 1.67520960e+09  4.47239485e+04 -6.76840000e+06  2.47930064e+06
  5.78987911e+06  2.47804673e+06]",1675212700
"[ 1.67520960e+09  4.47171199e+04  6.77384900e+06 -3.30157288e+06
 -4.99037287e+06  3.17503157e+06]","[ 1.67520960e+09  4.47327306e+04 -6.77462000e+06 -3.27880639e+06
 -5.31295666e+06  2.62991235e+06]",1675212800
"[ 1.67520960e+09  4.47550239e+04  6.77112900e+06 -2.88421139e+06
 -5.99155829e+06  1.27700503e+06]","[ 1.67520960e+09  4.47301153e+04 -6.77396000e+06 -2.61047956e+06
 -5.97813079e+06  1.82571327e+06]",1675212900
"[ 1.67520960e+09  4.47550239e+04  6.77112900e+06 -2.38126276e+06
 -6.06214269e+06  1.85154034e+06]","[ 1.67520960e+09  4.47301153e+04 -6.77396000e+06 -2.42526899e+06
 -5.79000277e+06  2.54549661e+06]",1675213000
"[ 1.67520960e+09  4.47550239e+04  6.77112900e+06 -1.84777301e+06
 -6.05497650e+06  2.40232855e+06]","[ 1.67520960e+09  2.81672234e+01  6.77954200e+06 -1.77231622e+06
 -6.04750885e+06  2.49974431e+06]",1675213100
"[ 1.67520960e+09  4.47550239e+04  6.77112900e+06 -1.29058448e+06
 -5.97015163e+06  2.92230546e+06]","[ 1.67520960e+09  2.81672234e+01  6.77954200e+06 -1.77231622e+06
 -6.04750885e+06  2.49974431e+06]",1675213200
"[1.67520960e+09 4.47770093e+04 6.76906000e+06 3.10782270e+06
 4.96553827e+06 3.39190817e+06]","[ 1.67520960e+09  4.47171199e+04 -6.77384900e+06  3.30157288e+06
  4.99037287e+06  3.17485220e+06]",1675213300
"[1.67520960e+09 4.47770093e+04 6.76906000e+06 2.78267892e+06
 5.44990384e+06 2.89403169e+06]","[ 1.67520960e+09  4.47239485e+04 -6.76840000e+06  2.47930064e+06
  5.78987911e+06  2.47804673e+06]",1675213400
"[1.67520960e+09 4.47770093e+04 6.76906000e+06 2.42181293e+06
 5.86430710e+06 2.35900352e+06]","[ 1.67520960e+09  4.47239485e+04 -6.76840000e+06  2.47930064e+06
  5.78987911e+06  2.47804673e+06]",1675213500
"[1.67520960e+09 4.47770093e+04 6.76906000e+06 2.02985729e+06
 6.20342822e+06 1.79369200e+06]","[ 1.67520960e+09  2.81672234e+01 -6.77954200e+06  1.77231622e+06
  6.04750885e+06  2.49956141e+06]",1675213600
"[1.67520960e+09 4.46771185e+04 6.77878300e+06 3.49822303e+06
 4.78304030e+06 3.29193866e+06]","[ 1.67520960e+09  4.47171199e+04 -6.77384900e+06  3.30157288e+06
  4.99037287e+06  3.17485220e+06]",1675214000
"[1.67520960e+09 4.46771185e+04 6.77878300e+06 3.10528115e+06
 5.29420131e+06 2.87759630e+06]","[ 1.67520960e+09  4.47755524e+04 -6.76985600e+06  3.10577385e+06
  5.61907807e+06  2.14716115e+06]",1675214100
"[1.67520960e+09 4.47905014e+04 6.76697500e+06 3.18781057e+06
 4.96217157e+06 3.31762983e+06]","[ 1.67520960e+09  4.47171199e+04 -6.77384900e+06  3.30157288e+06
  4.99037287e+06  3.17485220e+06]",1675214200
"[1.67520960e+09 4.47905014e+04 6.76697500e+06 2.86991262e+06
 5.44451356e+06 2.81297428e+06]","[ 1.67520960e+09  4.47239485e+04 -6.76840000e+06  2.47930064e+06
  5.78987911e+06  2.47804673e+06]",1675214300
"[1.67520960e+09 4.47905014e+04 6.76697500e+06 2.51513858e+06
 5.85689788e+06 2.27217425e+06]","[ 1.67520960e+09  4.47239485e+04 -6.76840000e+06  2.47930064e+06
  5.78987911e+06  2.47804673e+06]",1675214400
"[1.67520960e+09 4.47905014e+04 6.76697500e+06 2.12804700e+06
 6.19402572e+06 1.70217859e+06]","[ 1.67520960e+09  4.47239485e+04 -6.76840000e+06  2.17575993e+06
  6.13247902e+06  1.86261725e+06]",1675214500
"[ 1.67520960e+009  4.47171199e+004  6.77384900e+006 -3.25827629e-308
 -3.77279873e-303 -3.16257157e-308]","[1.63572594e+09 1.88339352e+00 6.76554700e+06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",1675214600
"[ 1.67520960e+009  4.47171199e+004  6.77384900e+006 -8.36907039e-309
 -3.43130800e-303 -7.20238148e-309]","[1.63572594e+09 1.88339352e+00 6.76554700e+06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",1675214700
"[ 1.67520960e+09  4.47301153e+04  6.77396000e+06 -3.00427775e+06
 -5.91160224e+06  1.38340460e+06]","[ 1.67520960e+09  4.47327306e+04 -6.77462000e+06 -2.93455910e+06
 -5.73657182e+06  2.09160955e+06]",1675214800
"[1.67520960e+09 4.47678543e+04 6.77075700e+06 3.69850958e+06
 5.33561745e+06 1.92233288e+06]","[ 1.67520960e+09  4.47755524e+04 -6.76985600e+06  3.10577385e+06
  5.61907807e+06  2.14716115e+06]",1675214900
"[1.67520960e+09 4.47678543e+04 6.77075700e+06 3.36193950e+06
 5.71987613e+06 1.35038152e+06]","[ 1.67520960e+09  4.47550239e+04 -6.77112900e+06  2.88421139e+06
  5.99155829e+06  1.27682713e+06]",1675215000
"[1.67520960e+09 4.47678543e+04 6.77075700e+06 2.98224344e+06
 6.03076191e+06 7.61107861e+05]","[ 1.67520960e+09  4.47550239e+04 -6.77112900e+06  2.88421139e+06
  5.99155829e+06  1.27682713e+06]",1675215100
"[1.67520960e+09 4.47135224e+04 6.77616700e+06 1.96587109e+06
 6.29669857e+06 1.55028292e+06]","[ 1.67520960e+09  4.47239485e+04 -6.76840000e+06  2.17575993e+06
  6.13247902e+06  1.86261725e+06]",1675215200
"[ 1.67520960e+09  2.81672234e+01  6.77954200e+06 -2.81960629e+06
 -5.67709330e+06  2.40470826e+06]","[ 1.67520960e+09  4.47301153e+04 -6.77396000e+06 -2.42526899e+06
 -5.79000277e+06  2.54549661e+06]",1675215300
"[ 1.67520960e+09  2.81672234e+01  6.77954200e+06 -3.49649600e+06
 -5.33289321e+06  2.30151157e+06]","[ 1.67520960e+09  4.47327306e+04 -6.77462000e+06 -3.27880639e+06
 -5.31295666e+06  2.62991235e+06]",1675215400
"[ 1.67520960e+09  2.81672234e+01  6.77954200e+06 -4.12870763e+06
 -4.92054964e+06  2.16890625e+06]","[ 1.67520960e+09  4.47678543e+04 -6.77075700e+06 -3.69850958e+06
 -5.33561745e+06  1.92215416e+06]",1675215500
"[1.67520960e+09 4.46832229e+04 6.77973800e+06 4.16039764e+06
 4.77539752e+06 2.41899098e+06]","[ 1.67520960e+09  2.81672234e+01 -6.77954200e+06  4.12870763e+06
  4.92054964e+06  2.16872452e+06]",1675215600
"[ 1.67520960e+09  4.47239485e+04  6.76840000e+06 -3.07485594e+06
 -4.66520579e+06  3.81999403e+06]","[ 1.67520960e+09  4.47770093e+04 -6.76906000e+06 -3.10782270e+06
 -4.96553827e+06  3.39172998e+06]",1675215700
"[ 1.67520960e+09  4.47239485e+04  6.76840000e+06 -2.85414844e+06
 -5.17814894e+06  3.29421444e+06]","[ 1.67520960e+09  4.46929747e+04 -6.77818800e+06 -2.75332622e+06
 -5.57879526e+06  2.69055999e+06]",1675215800
"[ 1.67520960e+09  4.47239485e+04  6.76840000e+06 -2.59679054e+06
 -5.62459896e+06  2.72613352e+06]","[ 1.67520960e+09  4.47301153e+04 -6.77396000e+06 -2.42526899e+06
 -5.79000277e+06  2.54549661e+06]",1675215900
"[ 1.67520960e+09  4.47239485e+04  6.76840000e+06 -2.30608700e+06
 -5.99882295e+06  2.12304605e+06]","[ 1.67520960e+09  2.81672234e+01  6.77954200e+06 -1.77231622e+06
 -6.04750885e+06  2.49974431e+06]",1675216000
"[ 1.67520960e+09  4.47239485e+04  6.76840000e+06 -1.98577076e+06
 -6.29601546e+06  1.49269634e+06]","[ 1.67520960e+09  4.47301153e+04 -6.77396000e+06 -2.61047956e+06
 -5.97813079e+06  1.82571327e+06]",1675216100
