object1,object2,time
"[ 1.67520960e+09  4.37713720e+04  6.87201400e+06  4.48349145e+06
  3.22370058e+06 -4.09030994e+06]","[ 1.67520960e+09  1.67243886e+02  6.87206600e+06  4.87091793e+06
  2.96965339e+06 -3.83152821e+06]",1675209700
"[ 1.67520960e+09  4.37694026e+04  6.87164600e+06 -5.02153619e+06
 -2.35351946e+06 -4.05766426e+06]","[ 1.67520960e+09  1.67243886e+02 -6.87206600e+06 -4.87091793e+06
 -2.96965339e+06 -3.83134916e+06]",1675209800
"[ 1.67520960e+09  4.37787470e+04  6.87344200e+06 -5.07540310e+06
 -3.19604615e+06 -3.35704890e+06]","[ 1.67520960e+09  1.67243886e+02 -6.87206600e+06 -4.87091793e+06
 -2.96965339e+06 -3.83134916e+06]",1675209900
"[ 1.67520960e+09  4.37908831e+04  6.87295700e+06  4.78765536e+06
  2.04669561e+06 -4.48630485e+06]","[ 1.67520960e+09  4.37694026e+04 -6.87164600e+06  5.02153619e+06
  2.35351946e+06 -4.05748295e+06]",1675210000
"[ 1.67520960e+09  4.37908831e+04  6.87295700e+06  5.25863082e+06
  2.10735158e+06 -3.89145334e+06]","[ 1.67520960e+09  4.37694026e+04 -6.87164600e+06  5.02153619e+06
  2.35351946e+06 -4.05748295e+06]",1675210100
"[ 1.67520960e+09  4.38101974e+04  6.87148100e+06  6.59724003e+06
  1.90861451e+06 -2.25534394e+05]","[ 1.67520960e+09  1.11039790e+02  6.87148100e+06  6.42779292e+06
  2.42889671e+06 -3.44973624e+04]",1675210200
"[ 1.67520960e+09  4.37708167e+04  6.87206600e+06  4.88901744e+06
  3.35937056e+06 -3.46949982e+06]","[ 1.67520960e+09  1.67243886e+02  6.87206600e+06  4.87091793e+06
  2.96965339e+06 -3.83152821e+06]",1675210300
"[ 1.67520960e+09  4.37708167e+04  6.87206600e+06  5.23628486e+06
  3.45961001e+06 -2.79959114e+06]","[ 1.67520960e+09  4.37787470e+04 -6.87344200e+06  5.07540310e+06
  3.19604615e+06 -3.35687004e+06]",1675210400
"[ 1.67520960e+09  4.37966344e+04  6.87251300e+06  4.92223592e+06
  1.97239071e+06 -4.37180779e+06]","[ 1.67520960e+09  4.37694026e+04 -6.87164600e+06  5.02153619e+06
  2.35351946e+06 -4.05748295e+06]",1675210500
"[ 1.67520960e+09  4.37966344e+04  6.87251300e+06  5.38174951e+06
  2.01969378e+06 -3.76683477e+06]","[ 1.67520960e+09  4.37694026e+04 -6.87164600e+06  5.02153619e+06
  2.35351946e+06 -4.05748295e+06]",1675210600
