object1,object2,time
"[ 1.67520960e+09  4.40235724e+04  6.84121600e+06  3.13745210e+06
 -5.83173419e+06 -1.71741289e+06]","[ 1.67520960e+09  4.70736834e+01  6.84196600e+06  3.47074082e+06
 -5.67026309e+06 -1.61696424e+06]",1675209800
"[ 1.67520960e+09  4.40235724e+04  6.84121600e+06  3.46346935e+06
 -5.43937879e+06 -2.28468265e+06]","[ 1.67520960e+09  4.70736834e+01  6.84196600e+06  3.47074082e+06
 -5.67026309e+06 -1.61696424e+06]",1675209900
"[ 1.67520960e+09  4.40393832e+04  6.84142700e+06 -3.21391135e+06
  5.33338563e+06 -2.83388336e+06]","[ 1.67520960e+09  4.40235724e+04 -6.84121600e+06 -3.46346935e+06
  5.43937879e+06 -2.28450049e+06]",1675211800
"[ 1.67520960e+09  4.40393832e+04  6.84142700e+06 -3.26500504e+06
  5.62223379e+06 -2.12963676e+06]","[ 1.67520960e+09  4.40235724e+04 -6.84121600e+06 -3.13745210e+06
  5.83173419e+06 -1.71723109e+06]",1675211900
"[ 1.67520960e+09  4.40393832e+04  6.84142700e+06 -3.27549942e+06
  5.84117122e+06 -1.39890878e+06]","[ 1.67520960e+09  4.40235724e+04 -6.84121600e+06 -3.13745210e+06
  5.83173419e+06 -1.71723109e+06]",1675212000
"[ 1.67520960e+09  4.40376243e+04  6.84272600e+06  3.11301644e+06
 -5.15461252e+06 -3.24992269e+06]","[ 1.67520960e+09  4.40393832e+04 -6.84142700e+06  3.21391135e+06
 -5.33338563e+06 -2.83370359e+06]",1675214100
"[ 1.67520960e+09  4.40376243e+04  6.84272600e+06  3.76887880e+06
 -4.86926420e+06 -2.98474754e+06]","[ 1.67520960e+09  4.40393832e+04 -6.84142700e+06  3.21391135e+06
 -5.33338563e+06 -2.83370359e+06]",1675214200
"[ 1.67520960e+09  4.70736834e+01  6.84196600e+06  2.68724606e+06
 -5.89548145e+06 -2.19875098e+06]","[ 1.67520960e+09  4.40393832e+04 -6.84142700e+06  3.26500504e+06
 -5.62223379e+06 -2.12945621e+06]",1675215100
"[ 1.67520960e+09  4.40393832e+04  6.84142700e+06  2.94236868e+06
 -5.99450314e+06 -1.48779102e+06]","[ 1.67520960e+09  4.70736834e+01  6.84196600e+06  3.47074082e+06
 -5.67026309e+06 -1.61696424e+06]",1675215200
"[ 1.67520960e+09  4.40393832e+04  6.84142700e+06  2.76353179e+06
 -5.85304964e+06 -2.21581257e+06]","[ 1.67520960e+09  4.40235724e+04  6.84121600e+06  3.13745210e+06
 -5.83173419e+06 -1.71705010e+06]",1675215300
"[ 1.67520960e+09  4.40235724e+04  6.84121600e+06  3.02679678e+06
 -5.94020824e+06 -1.53449134e+06]","[ 1.67520960e+09  4.70736834e+01  6.84196600e+06  3.47074082e+06
 -5.67026309e+06 -1.61696424e+06]",1675215400
"[ 1.67520960e+09  4.40235724e+04  6.84121600e+06  3.36552947e+06
 -5.57014720e+06 -2.10924345e+06]","[ 1.67520960e+09  4.70736834e+01  6.84196600e+06  3.47074082e+06
 -5.67026309e+06 -1.61696424e+06]",1675215500
"[ 1.67520960e+09  4.40235724e+04  6.84121600e+06  3.66240898e+06
 -5.13081671e+06 -2.65776535e+06]","[ 1.67520960e+09  4.40393832e+04 -6.84142700e+06  3.21391135e+06
 -5.33338563e+06 -2.83370359e+06]",1675215600
"[ 1.67520960e+09  4.41191957e+04  6.83938300e+06  4.09181007e+06
 -4.96742840e+06 -2.31493095e+06]","[ 1.67520960e+09  4.40235724e+04  6.84121600e+06  3.46346935e+06
 -5.43937879e+06 -2.28431993e+06]",1675216900
"[ 1.67520960e+09  4.40248616e+04  6.84289800e+06  3.99493227e+06
 -4.92549731e+06 -2.57006721e+06]","[ 1.67520960e+09  4.40235724e+04  6.84121600e+06  3.46346935e+06
 -5.43937879e+06 -2.28431993e+06]",1675217100
"[ 1.67520960e+09  4.40393832e+04  6.84142700e+06 -3.08585282e+06
  4.85260134e+06 -3.70606205e+06]","[ 1.67520960e+09  4.40376243e+04 -6.84272600e+06 -3.11301644e+06
  5.15461252e+06 -3.24974413e+06]",1675217300
"[ 1.67520960e+09  4.40393832e+04  6.84142700e+06 -3.18935406e+06
  5.22788826e+06 -3.04997187e+06]","[ 1.67520960e+09  4.40376243e+04 -6.84272600e+06 -3.11301644e+06
  5.15461252e+06 -3.24974413e+06]",1675217400
"[ 1.67520960e+09  4.40393832e+04  6.84142700e+06 -3.25319667e+06
  5.53816802e+06 -2.35595624e+06]","[ 1.67520960e+09  4.40235724e+04 -6.84121600e+06 -3.13745210e+06
  5.83173419e+06 -1.71723109e+06]",1675217500
"[ 1.67520960e+09  4.40393832e+04  6.84142700e+06 -3.27658679e+06
  5.77958239e+06 -1.63264503e+06]","[ 1.67520960e+09  4.40235724e+04 -6.84121600e+06 -3.13745210e+06
  5.83173419e+06 -1.71723109e+06]",1675217600
"[ 1.67520960e+09  4.40393832e+04  6.84142700e+06 -3.25923358e+06
  5.94912946e+06 -8.89032385e+05]","[ 1.67520960e+09  4.40235724e+04 -6.84121600e+06 -3.02679678e+06
  5.94020824e+06 -1.53430893e+06]",1675217700
"[1.67520960e+009 4.40376243e+004 6.84272600e+006 4.73507352e-303
 0.00000000e+000 4.73506420e-303]","[1.63570300e+09 3.30292565e+00 6.83876500e+06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",1675217800
"[1.67520960e+009 4.40376243e+004 6.84272600e+006 4.66842165e-303
 0.00000000e+000 4.66839625e-303]","[1.63570300e+09 3.30292565e+00 6.83876500e+06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",1675217900
"[1.67520960e+009 4.40376243e+004 6.84272600e+006 4.54375243e-303
 0.00000000e+000 4.54371128e-303]","[1.63570300e+09 3.30292565e+00 6.83876500e+06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",1675218000
"[1.67520960e+009 4.40376243e+004 6.84272600e+006 4.36261521e-303
 0.00000000e+000 4.36255882e-303]","[1.63570300e+09 3.30292565e+00 6.83876500e+06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",1675218100
"[1.67520960e+009 4.40376243e+004 6.84272600e+006 4.12726109e-303
 0.00000000e+000 4.12719015e-303]","[1.63570300e+09 3.30292565e+00 6.83876500e+06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",1675218200
"[1.67520960e+009 4.40376243e+004 6.84272600e+006 3.84061495e-303
 0.00000000e+000 3.84053035e-303]","[1.63570300e+09 3.30292565e+00 6.83876500e+06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",1675218300
"[1.67520960e+009 4.40376243e+004 6.84272600e+006 3.50623913e-303
 0.00000000e+000 3.50614192e-303]","[1.63570300e+09 3.30292565e+00 6.83876500e+06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",1675218400
"[1.67520960e+009 4.40376243e+004 6.84272600e+006 3.12828912e-303
 0.00000000e+000 3.12818051e-303]","[1.63570300e+09 3.30292565e+00 6.83876500e+06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",1675218500
"[1.67520960e+009 4.40376243e+004 6.84272600e+006 2.71146194e-303
 0.00000000e+000 2.71134327e-303]","[1.63570300e+09 3.30292565e+00 6.83876500e+06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",1675218600
"[1.67520960e+009 4.40376243e+004 6.84272600e+006 2.26093775e-303
 0.00000000e+000 2.26081051e-303]","[1.63570300e+09 3.30292565e+00 6.83876500e+06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",1675218700
"[1.67520960e+009 4.40376243e+004 6.84272600e+006 1.78231550e-303
 0.00000000e+000 1.78218126e-303]","[1.63570300e+09 3.30292565e+00 6.83876500e+06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",1675218800
"[1.67520960e+009 4.40376243e+004 6.84272600e+006 1.28154332e-303
 0.00000000e+000 1.28140375e-303]","[1.63570300e+09 3.30292565e+00 6.83876500e+06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",1675218900
"[1.67520960e+009 4.40376243e+004 6.84272600e+006 7.64844609e-304
 0.00000000e+000 7.64701450e-304]","[1.63570300e+09 3.30292565e+00 6.83876500e+06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",1675219000
"[ 1.67520960e+09  4.41191957e+04  6.83938300e+06 -4.53494283e+06
  4.59925274e+06 -2.24907259e+06]","[ 1.67520960e+09  4.40248616e+04 -6.84289800e+06 -3.99493227e+06
  4.92549731e+06 -2.56988940e+06]",1675219100
"[ 1.67520960e+09  4.40248616e+04  6.84289800e+06 -4.45242618e+06
  4.43181076e+06 -2.71297024e+06]","[ 1.67520960e+09  4.41191957e+04 -6.83938300e+06 -4.09181007e+06
  4.96742840e+06 -2.31474889e+06]",1675219200
"[ 1.67520960e+09  4.40601456e+04  6.84194600e+06 -4.41631213e+06
  4.80047481e+06 -2.06491013e+06]","[ 1.67520960e+09  4.41191957e+04 -6.83938300e+06 -4.09181007e+06
  4.96742840e+06 -2.31474889e+06]",1675219300
"[ 1.67520960e+09  4.40601456e+04  6.84194600e+06 -4.15875594e+06
  4.67284594e+06 -2.77154919e+06]","[ 1.67520960e+09  4.40376243e+04 -6.84272600e+06 -3.76887880e+06
  4.86926420e+06 -2.98456536e+06]",1675219400
"[ 1.67520960e+09  4.40601456e+04  6.84194600e+06 -3.84949866e+06
  4.48712490e+06 -3.44373274e+06]","[ 1.67520960e+09  4.40376243e+04 -6.84272600e+06 -3.76887880e+06
  4.86926420e+06 -2.98456536e+06]",1675219500
"[ 1.67520960e+009  4.40376243e+004  6.84272600e+006 -2.30649702e-303
  0.00000000e+000 -2.30662437e-303]","[1.63570300e+09 3.30292565e+00 6.83876500e+06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",1675219600
"[ 1.67520960e+09  4.40376243e+04  6.84272600e+06  2.88579381e+06
 -5.23550658e+06 -3.32934889e+06]","[ 1.67520960e+09  4.40393832e+04 -6.84142700e+06  3.21391135e+06
 -5.33338563e+06 -2.83370359e+06]",1675219700
"[ 1.67520960e+09  4.40376243e+04  6.84272600e+06  3.55545947e+06
 -4.97111785e+06 -3.07727061e+06]","[ 1.67520960e+09  4.40393832e+04 -6.84142700e+06  3.21391135e+06
 -5.33338563e+06 -2.83370359e+06]",1675219800
"[ 1.67520960e+09  4.40376243e+04  6.84272600e+06  4.18093925e+06
 -4.64494998e+06 -2.78694919e+06]","[ 1.67520960e+09  4.41191957e+04 -6.83938300e+06  4.53494283e+06
 -4.59925274e+06 -2.24889452e+06]",1675219900
"[ 1.67520960e+09  4.40376243e+04  6.84272600e+06  4.75445993e+06
 -4.26105645e+06 -2.46199265e+06]","[ 1.67520960e+09  4.41191957e+04 -6.83938300e+06  4.53494283e+06
 -4.59925274e+06 -2.24889452e+06]",1675220000
"[ 1.67520960e+009  4.40376243e+004  6.84272600e+006 -4.15268534e-303
  0.00000000e+000 -4.15275648e-303]","[1.63570300e+09 3.30292565e+00 6.83876500e+06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",1675220100
"[ 1.67520960e+009  4.40376243e+004  6.84272600e+006 -4.38283651e-303
  0.00000000e+000 -4.38289312e-303]","[1.63570300e+09 3.30292565e+00 6.83876500e+06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",1675220200
