object1,object2,time
"[1.67520960e+09 4.38330343e+04 6.86107000e+06 1.00000000e+00
 8.63023830e+05 2.79923523e+05 6.80081717e+06]","[1.67520960e+09 4.38816848e+04 6.86134900e+06 0.00000000e+00
 8.63218778e+05 2.79984573e+05 6.80107139e+06]",1751483200
"[ 1.67520960e+09  4.39039091e+04  6.85847400e+06  1.00000000e+00
 -9.43860931e+05 -5.52962469e+06 -3.94601608e+06]","[ 1.67520960e+09  4.39540479e+04  6.85895400e+06  1.00000000e+00
 -9.44079510e+05 -5.53027489e+06 -3.94588691e+06]",1805458700
"[ 1.67520960e+09  4.39303964e+04  6.85710200e+06  0.00000000e+00
  2.88784544e+06 -7.59858064e+05 -6.17274755e+06]","[ 1.67520960e+09  4.39242682e+04  6.85736700e+06  1.00000000e+00
  2.88756238e+06 -7.60298268e+05 -6.17312014e+06]",1824470400
