object1,object2,time
"[ 1.67520960e+09  4.39474422e+04  6.85684600e+06 -6.75119259e+06
 -1.07329036e+06  5.34587149e+05]","[ 1.67520960e+09  1.47958446e+02  6.85532500e+06 -6.81502327e+06
 -5.05593606e+05  5.43427832e+05]",1675210100
"[ 1.67520960e+09  4.39839837e+04  6.85275500e+06 -6.83834220e+06
 -4.16384966e+05  1.54759805e+05]","[ 1.67520960e+09  1.47958446e+02  6.85532500e+06 -6.81502327e+06
 -5.05593606e+05  5.43427832e+05]",1675211100
"[ 1.67520960e+09  4.39839837e+04  6.85275500e+06 -6.78490817e+06
 -3.16062127e+05  9.08502553e+05]","[ 1.67520960e+09  1.47958446e+02  6.85532500e+06 -6.81502327e+06
 -5.05593606e+05  5.43427832e+05]",1675211200
"[ 1.67520960e+09  4.39713008e+04  6.85424100e+06 -6.72858338e+06
 -8.81059026e+05  9.64634828e+05]","[ 1.67520960e+09  1.47958446e+02  6.85532500e+06 -6.81502327e+06
 -5.05593606e+05  5.43427832e+05]",1675211300
"[ 1.67520960e+09  4.39130373e+04  6.85388800e+06  6.85305122e+06
 -3.77509964e+03 -1.07030251e+05]","[ 1.67520960e+09  4.39839837e+04 -6.85275500e+06  6.83834220e+06
  4.16384966e+05  1.54577193e+05]",1675211400
"[1.67520960e+09 4.39130373e+04 6.85388800e+06 6.82256598e+06
 3.13852460e+04 6.53750035e+05]","[ 1.67520960e+09  1.47958446e+02 -6.85532500e+06  6.81502327e+06
  5.05593606e+05  5.43247510e+05]",1675211500
"[1.67520960e+09 4.39130373e+04 6.85388800e+06 6.70770567e+06
 6.61574484e+04 1.40644536e+06]","[ 1.67520960e+09  4.39839837e+04 -6.85275500e+06  6.78490817e+06
  3.16062127e+05  9.08324877e+05]",1675211600
"[ 1.67520960e+09  4.39029319e+04  6.85491700e+06 -6.63519464e+06
  2.32447940e+05  1.70588602e+06]","[ 1.67520960e+09  4.39130373e+04 -6.85388800e+06 -6.70770567e+06
 -6.61574484e+04  1.40626742e+06]",1675211800
"[ 1.67520960e+09  4.39029319e+04  6.85491700e+06 -6.78449438e+06
  2.01361650e+05  9.59154113e+05]","[ 1.67520960e+09  4.39130373e+04 -6.85388800e+06 -6.82256598e+06
 -3.13852460e+04  6.53569866e+05]",1675211900
"[1.67520960e+09 4.39800037e+04 6.85478500e+06 6.57721418e+06
 1.81104073e+06 6.69673462e+05]","[ 1.67520960e+09  4.39474422e+04 -6.85684600e+06  6.75119259e+06
  1.07329036e+06  5.34408527e+05]",1675212000
"[ 1.67520960e+09  4.39029319e+04  6.85491700e+06 -6.83068549e+06
  1.32136718e+05 -5.60502145e+05]","[ 1.67520960e+09  4.39130373e+04 -6.85388800e+06 -6.85305122e+06
  3.77509964e+03 -1.06850997e+05]",1675212100
"[ 1.67520960e+09  1.47958446e+02  6.85532500e+06  6.81983590e+06
 -4.34746952e+05 -5.44347571e+05]","[ 1.67520960e+09  4.39029319e+04 -6.85491700e+06  6.83068549e+06
 -1.32136718e+05 -5.60322080e+05]",1675212300
"[ 1.67520960e+09  1.47958446e+02  6.85532500e+06  6.82583030e+06
  3.27352062e+05 -5.44391595e+05]","[ 1.67520960e+09  4.39839837e+04 -6.85275500e+06  6.83834220e+06
  4.16384966e+05  1.54577193e+05]",1675212400
"[ 1.67520960e+09  4.39761278e+04  6.85538600e+06 -6.75023787e+06
 -1.18485528e+06  1.63474540e+05]","[ 1.67520960e+09  1.47958446e+02  6.85532500e+06 -6.81502327e+06
 -5.05593606e+05  5.43427832e+05]",1675212500
"[ 1.67520960e+09  4.39761278e+04  6.85538600e+06 -6.70754058e+06
 -1.07903751e+06  9.17003060e+05]","[ 1.67520960e+09  1.47958446e+02  6.85532500e+06 -6.81502327e+06
 -5.05593606e+05  5.43427832e+05]",1675212600
"[ 1.67520960e+09  4.39509252e+04  6.85673100e+06 -6.69500243e+06
 -7.22331401e+05  1.29226151e+06]","[ 1.67520960e+09  1.47958446e+02  6.85532500e+06 -6.81502327e+06
 -5.05593606e+05  5.43427832e+05]",1675212700
"[1.67520960e+09 4.39474422e+04 6.85684600e+06 6.73937799e+06
 1.19451512e+06 4.12619635e+05]","[ 1.67520960e+09  1.47958446e+02 -6.85532500e+06  6.81502327e+06
  5.05593606e+05  5.43247510e+05]",1675212800
"[ 1.67520960e+09  4.39380596e+04  6.85445400e+06 -6.65179468e+06
 -1.53495705e+06  6.17311937e+05]","[ 1.67520960e+09  4.39800037e+04 -6.85478500e+06 -6.57721418e+06
 -1.81104073e+06  6.69492643e+05]",1675212900
"[ 1.67520960e+09  4.39720521e+04  6.85654500e+06  6.45067876e+06
 -1.62162424e+05  2.31833048e+06]","[ 1.67520960e+09  4.39029319e+04 -6.85491700e+06  6.63519464e+06
 -2.32447940e+05  1.70570777e+06]",1675213000
"[ 1.67520960e+09  4.39720521e+04  6.85654500e+06  6.66308354e+06
 -2.70307607e+05  1.59450962e+06]","[ 1.67520960e+09  4.39029319e+04 -6.85491700e+06  6.63519464e+06
 -2.32447940e+05  1.70570777e+06]",1675213100
"[ 1.67520960e+09  4.39720521e+04  6.85654500e+06  6.79318123e+06
 -3.75113760e+05  8.50992251e+05]","[ 1.67520960e+09  4.39839837e+04 -6.85275500e+06  6.78490817e+06
  3.16062127e+05  9.08324877e+05]",1675213200
